state,date,infections,,,,,,,,,,,,,,,,,,,,
Connecticut,5/6/20,6258.898039,,,,,,,,,,,,,,,,,,,,
Connecticut,5/7/20,6022.764698,,,,,,,,,,,,,,,,,,,,
Connecticut,5/8/20,5781.943717,,,,,,,,,,,,,,,,,,,,
Connecticut,5/9/20,5537.529405,,,,,,,,,,,,,,,,,,,,
Connecticut,5/10/20,5290.845884,,,,,,,,,,,,,,,,,,,,
Connecticut,5/11/20,5043.380254,,,,,,,,,,,,,,,,,,,,
Connecticut,5/12/20,4796.721091,,,,,,,,,,,,,,,,,,,,
Connecticut,5/13/20,4552.499391,,,,,,,,,,,,,,,,,,,,
Connecticut,5/14/20,4312.318119,,,,,,,,,,,,,,,,,,,,
Connecticut,5/15/20,4077.63272,,,,,,,,,,,,,,,,,,,,
Connecticut,5/16/20,3849.713358,,,,,,,,,,,,,,,,,,,,
Connecticut,5/17/20,3629.641825,,,,,,,,,,,,,,,,,,,,
Connecticut,5/18/20,3418.313366,,,,,,,,,,,,,,,,,,,,
Connecticut,5/19/20,3216.436931,,,,,,,,,,,,,,,,,,,,
Connecticut,5/20/20,3024.508438,,,,,,,,,,,,,,,,,,,,
Connecticut,5/21/20,2842.821132,,,,,,,,,,,,,,,,,,,,
Connecticut,5/22/20,2671.495549,,,,,,,,,,,,,,,,,,,,
Connecticut,5/23/20,2510.507902,,,,,,,,,,,,,,,,,,,,
Connecticut,5/24/20,2359.716127,,,,,,,,,,,,,,,,,,,,
Connecticut,5/25/20,2218.881774,,,,,,,,,,,,,,,,,,,,
Connecticut,5/26/20,2087.69082,,,,,,,,,,,,,,,,,,,,
Connecticut,5/27/20,1965.773066,,,,,,,,,,,,,,,,,,,,
Connecticut,5/28/20,1852.718821,,,,,,,,,,,,,,,,,,,,
Connecticut,5/29/20,1748.093116,,,,,,,,,,,,,,,,,,,,
Connecticut,5/30/20,1651.448843,,,,,,,,,,,,,,,,,,,,
Connecticut,5/31/20,1562.336962,,,,,,,,,,,,,,,,,,,,
Connecticut,6/1/20,1480.313653,,,,,,,,,,,,,,,,,,,,
Connecticut,6/2/20,1404.945933,,,,,,,,,,,,,,,,,,,,
Connecticut,6/3/20,1335.815743,,,,,,,,,,,,,,,,,,,,
Connecticut,6/4/20,1272.518261,,,,,,,,,,,,,,,,,,,,
Connecticut,6/5/20,1214.660737,,,,,,,,,,,,,,,,,,,,
Connecticut,6/6/20,1161.865725,,,,,,,,,,,,,,,,,,,,
Connecticut,6/7/20,1113.77338,,,,,,,,,,,,,,,,,,,,
Connecticut,6/8/20,1070.042666,,,,,,,,,,,,,,,,,,,,
Connecticut,6/9/20,1030.346665,,,,,,,,,,,,,,,,,,,,
Connecticut,6/10/20,994.3669652,,,,,,,,,,,,,,,,,,,,
Connecticut,6/11/20,961.7944781,,,,,,,,,,,,,,,,,,,,
Connecticut,6/12/20,932.3298483,,,,,,,,,,,,,,,,,,,,
Connecticut,6/13/20,905.683151,,,,,,,,,,,,,,,,,,,,
Connecticut,6/14/20,881.5743668,,,,,,,,,,,,,,,,,,,,
Connecticut,6/15/20,859.7341615,,,,,,,,,,,,,,,,,,,,
Connecticut,6/16/20,839.9021971,,,,,,,,,,,,,,,,,,,,
Connecticut,6/17/20,821.8251777,,,,,,,,,,,,,,,,,,,,
Connecticut,6/18/20,805.254972,,,,,,,,,,,,,,,,,,,,
Connecticut,6/19/20,789.9517542,,,,,,,,,,,,,,,,,,,,
Connecticut,6/20/20,775.6928206,,,,,,,,,,,,,,,,,,,,
Connecticut,6/21/20,762.271475,,,,,,,,,,,,,,,,,,,,
Connecticut,6/22/20,749.4948875,,,,,,,,,,,,,,,,,,,,
Connecticut,6/23/20,737.1824578,,,,,,,,,,,,,,,,,,,,
Connecticut,6/24/20,725.1665161,,,,,,,,,,,,,,,,,,,,
Connecticut,6/25/20,713.2970001,,,,,,,,,,,,,,,,,,,,
Connecticut,6/26/20,701.4414469,,,,,,,,,,,,,,,,,,,,
Connecticut,6/27/20,689.4841556,,,,,,,,,,,,,,,,,,,,
Connecticut,6/28/20,677.3255682,,,,,,,,,,,,,,,,,,,,
Connecticut,6/29/20,664.8809465,,,,,,,,,,,,,,,,,,,,
Connecticut,6/30/20,652.0766344,,,,,,,,,,,,,,,,,,,,
Connecticut,7/1/20,638.8492708,,,,,,,,,,,,,,,,,,,,
Connecticut,7/2/20,625.1459889,,,,,,,,,,,,,,,,,,,,
Connecticut,7/3/20,610.9246248,,,,,,,,,,,,,,,,,,,,
Connecticut,7/4/20,596.1536268,,,,,,,,,,,,,,,,,,,,
Connecticut,7/5/20,580.8107007,,,,,,,,,,,,,,,,,,,,
Connecticut,7/6/20,564.8826126,,,,,,,,,,,,,,,,,,,,
Connecticut,7/7/20,548.3655256,,,,,,,,,,,,,,,,,,,,
Connecticut,7/8/20,531.2652604,,,,,,,,,,,,,,,,,,,,
Connecticut,7/9/20,513.5985951,,,,,,,,,,,,,,,,,,,,
Connecticut,7/10/20,495.4016619,,,,,,,,,,,,,,,,,,,,
Connecticut,7/11/20,476.7319009,,,,,,,,,,,,,,,,,,,,
Connecticut,7/12/20,457.6651276,,,,,,,,,,,,,,,,,,,,
Connecticut,7/13/20,438.2923008,,,,,,,,,,,,,,,,,,,,
Connecticut,7/14/20,418.7169928,,,,,,,,,,,,,,,,,,,,
Connecticut,7/15/20,399.0611435,,,,,,,,,,,,,,,,,,,,
Connecticut,7/16/20,379.4646351,,,,,,,,,,,,,,,,,,,,
Connecticut,7/17/20,360.0780764,,,,,,,,,,,,,,,,,,,,
Connecticut,7/18/20,341.0559728,,,,,,,,,,,,,,,,,,,,
Connecticut,7/19/20,322.550547,,,,,,,,,,,,,,,,,,,,
Connecticut,7/20/20,304.7048881,,,,,,,,,,,,,,,,,,,,
Connecticut,7/21/20,287.6481894,,,,,,,,,,,,,,,,,,,,
Connecticut,7/22/20,271.4939481,,,,,,,,,,,,,,,,,,,,
Connecticut,7/23/20,256.3393474,,,,,,,,,,,,,,,,,,,,
Connecticut,7/24/20,242.2653897,,,,,,,,,,,,,,,,,,,,
Connecticut,7/25/20,229.3302929,,,,,,,,,,,,,,,,,,,,
Connecticut,7/26/20,217.5656791,,,,,,,,,,,,,,,,,,,,
Connecticut,7/27/20,206.9828589,,,,,,,,,,,,,,,,,,,,
Connecticut,7/28/20,197.5789609,,,,,,,,,,,,,,,,,,,,
Connecticut,7/29/20,189.3422559,,,,,,,,,,,,,,,,,,,,
Connecticut,7/30/20,182.2522137,,,,,,,,,,,,,,,,,,,,
Connecticut,7/31/20,176.2780039,,,,,,,,,,,,,,,,,,,,
Connecticut,8/1/20,171.382969,,,,,,,,,,,,,,,,,,,,
Connecticut,8/2/20,167.5282892,,,,,,,,,,,,,,,,,,,,
Connecticut,8/3/20,164.6754564,,,,,,,,,,,,,,,,,,,,
Connecticut,8/4/20,162.7877589,,,,,,,,,,,,,,,,,,,,
Connecticut,8/5/20,161.8309101,,,,,,,,,,,,,,,,,,,,
Connecticut,8/6/20,161.7728404,,,,,,,,,,,,,,,,,,,,
Connecticut,8/7/20,162.5827658,,,,,,,,,,,,,,,,,,,,
Connecticut,8/8/20,164.2295735,,,,,,,,,,,,,,,,,,,,
Connecticut,8/9/20,166.6817035,,,,,,,,,,,,,,,,,,,,
Connecticut,8/10/20,169.9099248,,,,,,,,,,,,,,,,,,,,
Connecticut,8/11/20,173.8854911,,,,,,,,,,,,,,,,,,,,
Connecticut,8/12/20,178.5772952,,,,,,,,,,,,,,,,,,,,
Connecticut,8/13/20,183.9487888,,,,,,,,,,,,,,,,,,,,
Connecticut,8/14/20,189.9568158,,,,,,,,,,,,,,,,,,,,
Connecticut,8/15/20,196.5559879,,,,,,,,,,,,,,,,,,,,
Connecticut,8/16/20,203.6983882,,,,,,,,,,,,,,,,,,,,
Connecticut,8/17/20,211.332147,,,,,,,,,,,,,,,,,,,,
Connecticut,8/18/20,219.4002995,,,,,,,,,,,,,,,,,,,,
Connecticut,8/19/20,227.8407171,,,,,,,,,,,,,,,,,,,,
Connecticut,8/20/20,236.589458,,,,,,,,,,,,,,,,,,,,
Connecticut,8/21/20,245.5825316,,,,,,,,,,,,,,,,,,,,
Connecticut,8/22/20,254.7571262,,,,,,,,,,,,,,,,,,,,
Connecticut,8/23/20,264.0531803,,,,,,,,,,,,,,,,,,,,
Connecticut,8/24/20,273.4148587,,,,,,,,,,,,,,,,,,,,
Connecticut,8/25/20,282.7900709,,,,,,,,,,,,,,,,,,,,
Connecticut,8/26/20,292.1312128,,,,,,,,,,,,,,,,,,,,
Connecticut,8/27/20,301.3968389,,,,,,,,,,,,,,,,,,,,
Connecticut,8/28/20,310.553377,,,,,,,,,,,,,,,,,,,,
Connecticut,8/29/20,319.5765636,,,,,,,,,,,,,,,,,,,,
Connecticut,8/30/20,328.4505636,,,,,,,,,,,,,,,,,,,,
Connecticut,8/31/20,337.1678539,,,,,,,,,,,,,,,,,,,,
Connecticut,9/1/20,345.730198,,,,,,,,,,,,,,,,,,,,
Connecticut,9/2/20,354.1495686,,,,,,,,,,,,,,,,,,,,
Connecticut,9/3/20,362.4489343,,,,,,,,,,,,,,,,,,,,
Connecticut,9/4/20,370.6620913,,,,,,,,,,,,,,,,,,,,
Connecticut,9/5/20,378.8336555,,,,,,,,,,,,,,,,,,,,
Connecticut,9/6/20,387.0196712,,,,,,,,,,,,,,,,,,,,
Connecticut,9/7/20,395.2882892,,,,,,,,,,,,,,,,,,,,
Connecticut,9/8/20,403.7203149,,,,,,,,,,,,,,,,,,,,
Connecticut,9/9/20,412.4054536,,,,,,,,,,,,,,,,,,,,
Connecticut,9/10/20,421.4386223,,,,,,,,,,,,,,,,,,,,
Connecticut,9/11/20,430.9201868,,,,,,,,,,,,,,,,,,,,
Connecticut,9/12/20,440.9565381,,,,,,,,,,,,,,,,,,,,
Connecticut,9/13/20,451.6607236,,,,,,,,,,,,,,,,,,,,
Connecticut,9/14/20,463.1483548,,,,,,,,,,,,,,,,,,,,
Connecticut,9/15/20,475.5319525,,,,,,,,,,,,,,,,,,,,
Connecticut,9/16/20,488.9203314,,,,,,,,,,,,,,,,,,,,
Connecticut,9/17/20,503.4181367,,,,,,,,,,,,,,,,,,,,
Connecticut,9/18/20,519.1251399,,,,,,,,,,,,,,,,,,,,
Connecticut,9/19/20,536.1361358,,,,,,,,,,,,,,,,,,,,
Connecticut,9/20/20,554.5411683,,,,,,,,,,,,,,,,,,,,
Connecticut,9/21/20,574.4241479,,,,,,,,,,,,,,,,,,,,
Connecticut,9/22/20,595.860863,,,,,,,,,,,,,,,,,,,,
Connecticut,9/23/20,618.9164558,,,,,,,,,,,,,,,,,,,,
Connecticut,9/24/20,643.6468872,,,,,,,,,,,,,,,,,,,,
Connecticut,9/25/20,670.1060362,,,,,,,,,,,,,,,,,,,,
Connecticut,9/26/20,698.3456061,,,,,,,,,,,,,,,,,,,,
Connecticut,9/27/20,728.4138036,,,,,,,,,,,,,,,,,,,,
Connecticut,9/28/20,760.3538525,,,,,,,,,,,,,,,,,,,,
Connecticut,9/29/20,794.2050889,,,,,,,,,,,,,,,,,,,,
Connecticut,9/30/20,830.0097666,,,,,,,,,,,,,,,,,,,,
Connecticut,10/1/20,867.8150128,,,,,,,,,,,,,,,,,,,,
Connecticut,10/2/20,907.6738732,,,,,,,,,,,,,,,,,,,,
Connecticut,10/3/20,949.6466323,,,,,,,,,,,,,,,,,,,,
Connecticut,10/4/20,993.802578,,,,,,,,,,,,,,,,,,,,
Connecticut,10/5/20,1040.222561,,,,,,,,,,,,,,,,,,,,
Connecticut,10/6/20,1089.0016,,,,,,,,,,,,,,,,,,,,
Connecticut,10/7/20,1140.25179,,,,,,,,,,,,,,,,,,,,
Connecticut,10/8/20,1194.10565,,,,,,,,,,,,,,,,,,,,
Connecticut,10/9/20,1250.718333,,,,,,,,,,,,,,,,,,,,
Connecticut,10/10/20,1310.262704,,,,,,,,,,,,,,,,,,,,
Connecticut,10/11/20,1372.928795,,,,,,,,,,,,,,,,,,,,
Connecticut,10/12/20,1438.925877,,,,,,,,,,,,,,,,,,,,
Connecticut,10/13/20,1508.4848,,,,,,,,,,,,,,,,,,,,
Connecticut,10/14/20,1581.858976,,,,,,,,,,,,,,,,,,,,
Connecticut,10/15/20,1659.314768,,,,,,,,,,,,,,,,,,,,
Connecticut,10/16/20,1741.125797,,,,,,,,,,,,,,,,,,,,
Connecticut,10/17/20,1827.571241,,,,,,,,,,,,,,,,,,,,
Connecticut,10/18/20,1918.933709,,,,,,,,,,,,,,,,,,,,
Connecticut,10/19/20,2015.496114,,,,,,,,,,,,,,,,,,,,
Connecticut,10/20/20,2117.533165,,,,,,,,,,,,,,,,,,,,
Connecticut,10/21/20,2225.302857,,,,,,,,,,,,,,,,,,,,
Connecticut,10/22/20,2339.039252,,,,,,,,,,,,,,,,,,,,
Connecticut,10/23/20,2458.944021,,,,,,,,,,,,,,,,,,,,
Connecticut,10/24/20,2585.176831,,,,,,,,,,,,,,,,,,,,
Connecticut,10/25/20,2717.847355,,,,,,,,,,,,,,,,,,,,
Connecticut,10/26/20,2857.005945,,,,,,,,,,,,,,,,,,,,
Connecticut,10/27/20,3002.631008,,,,,,,,,,,,,,,,,,,,
Connecticut,10/28/20,3154.61501,,,,,,,,,,,,,,,,,,,,
Connecticut,10/29/20,3312.750123,,,,,,,,,,,,,,,,,,,,
Connecticut,10/30/20,3476.732668,,,,,,,,,,,,,,,,,,,,
Connecticut,10/31/20,3646.172776,,,,,,,,,,,,,,,,,,,,
Connecticut,11/1/20,3820.588691,,,,,,,,,,,,,,,,,,,,
Connecticut,11/2/20,3999.401051,,,,,,,,,,,,,,,,,,,,
Connecticut,11/3/20,4181.928875,,,,,,,,,,,,,,,,,,,,
Connecticut,11/4/20,4367.415491,,,,,,,,,,,,,,,,,,,,
Connecticut,11/5/20,4555.073024,,,,,,,,,,,,,,,,,,,,
Connecticut,11/6/20,4744.09987,,,,,,,,,,,,,,,,,,,,
Connecticut,11/7/20,4933.697846,,,,,,,,,,,,,,,,,,,,
Connecticut,11/8/20,5123.090831,,,,,,,,,,,,,,,,,,,,
Connecticut,11/9/20,5311.537707,,,,,,,,,,,,,,,,,,,,
Connecticut,11/10/20,5498.339278,,,,,,,,,,,,,,,,,,,,
Connecticut,11/11/20,5682.854621,,,,,,,,,,,,,,,,,,,,
Connecticut,11/12/20,5864.518487,,,,,,,,,,,,,,,,,,,,
Connecticut,11/13/20,6042.858171,,,,,,,,,,,,,,,,,,,,
Connecticut,11/14/20,6217.471297,,,,,,,,,,,,,,,,,,,,
